Ticker,ABJC,BNBC,BOAB,BOABF,BOAC,BOAM,BOAN,BOAS,CABC,CBIBF,CFAC,CIEC,ECOC,ETIT,FTSC,NSBC,NTLC,ONTBF,ORGT,PALC,SCRC,SDCC,SDSC,SGBC,SHEC,SIBC,SIVC,SMBC,SNTS,SOGC,SPHC,TTLC,TTLS,UNXC
CFAC,6.734385067745485e-05,6.672766002313393e-05,3.4633843250856435e-05,3.955170122606551e-05,3.475305105389354e-05,5.0196506813648535e-05,3.916096859812924e-05,3.785183766058185e-05,5.700673525714845e-05,2.766199440467697e-05,0.0010269991149706723,4.2870891154855226e-05,3.2701257523183216e-05,4.7960282468761e-05,6.534582288464301e-05,4.711534700591357e-05,5.669664559945509e-05,3.326251103817169e-05,4.7579745091259124e-05,6.430422685465922e-05,5.829718179404862e-05,3.905218020077811e-05,5.281380889169088e-05,3.296875910689415e-05,5.034240223649101e-05,3.3085949780937606e-05,6.112719021394988e-05,5.350522692500586e-05,1.9916930051111805e-05,4.522197312577586e-05,4.889607272044326e-05,4.743990250125252e-05,4.702745804477047e-05,6.335572850362229e-05
CIEC,4.417486422819059e-05,4.355708592790155e-05,2.5496959631037158e-05,2.6946937596060235e-05,2.7366091735615105e-05,3.9409261466646614e-05,2.8747356408910578e-05,2.84968092122506e-05,4.4284273821564955e-05,2.3905590342648235e-05,4.2870891154855226e-05,0.0005864692518142395,2.5321354485188192e-05,4.047608904942213e-05,5.1216702802565756e-05,3.661985461011169e-05,4.341102435516362e-05,2.892395652016922e-05,3.834694416584084e-05,5.227387010200923e-05,4.383202886853422e-05,3.180209237575625e-05,3.6873866876751355e-05,2.406979503688434e-05,3.941470468229131e-05,2.4890210026715e-05,4.168390421137271e-05,4.7430562444914534e-05,1.6045942262277328e-05,3.777456225559108e-05,4.0579567208621847e-05,3.374879832627057e-05,3.735473376846394e-05,4.8196917547132326e-05
ECOC,3.731751505689722e-05,3.55976896810988e-05,2.0438062111289873e-05,2.5091321677236532e-05,2.239717949932328e-05,3.1453325934491756e-05,2.448108341971994e-05,2.5135824770075935e-05,3.952859696338582e-05,1.8011888689216808e-05,3.2701257523183216e-05,2.5321354485188192e-05,0.00038872573473395833,2.956948192370483e-05,3.8696068047200514e-05,3.1884733252174495e-05,3.8027707594430654e-05,2.1690578192610147e-05,3.194090127147351e-05,4.273344071553073e-05,3.5822812002595185e-05,2.2399404846810396e-05,3.212715950012136e-05,1.8692304780502322e-05,3.139172450660275e-05,2.169206073229107e-05,3.231602242829385e-05,3.723227524889686e-05,1.3706335822116135e-05,3.3124072394517935e-05,3.274787758826925e-05,2.658889611193402e-05,2.9129175887811902e-05,3.5492462419362586e-05
ETIT,5.392529372691081e-05,5.347632504029018e-05,2.897484175043552e-05,3.2429530673816e-05,3.027276352624413e-05,4.387236645597741e-05,3.3894505405095e-05,3.6954000855987894e-05,5.0289437459807215e-05,2.602079036732307e-05,4.7960282468761e-05,4.047608904942213e-05,2.956948192370483e-05,0.0009348912774544834,5.3843175831659894e-05,4.095236076069129e-05,5.075138565567299e-05,3.436410137548682e-05,4.569360160836903e-05,5.437713527918232e-05,5.5699347587558985e-05,3.597375624664503e-05,5.2149612406909036e-05,2.7130987550410472e-05,4.816382336170483e-05,2.988979729345046e-05,5.214023703342844e-05,4.79629961696869e-05,2.1065988267961744e-05,4.859900632246134e-05,4.443282257677401e-05,4.29829284614859e-05,4.219851949324705e-05,5.808771114431104e-05
FTSC,6.422617472193162e-05,7.431160973103555e-05,3.8524841786879527e-05,4.439495542938183e-05,3.9503864500568345e-05,5.695569202874309e-05,3.990718659078681e-05,4.438424822585349e-05,6.874579644166169e-05,3.244220700183923e-05,6.534582288464301e-05,5.1216702802565756e-05,3.8696068047200514e-05,5.3843175831659894e-05,0.0013624268268361162,6.173861216477598e-05,6.606618855516963e-05,3.509146870632529e-05,5.9587556663658844e-05,7.702266030876491e-05,6.271364480049024e-05,4.3747102882348216e-05,5.652646782457418e-05,3.2606167018565054e-05,5.867679763143125e-05,3.7694819314865215e-05,6.825789973037437e-05,6.311310075913829e-05,2.454519142753144e-05,5.874827234193803e-05,6.104111398803668e-05,4.620043115940887e-05,5.39533146340316e-05,7.20476281642046e-05
NSBC,4.336417798750525e-05,5.0891139146404215e-05,3.084199406338857e-05,3.614340955542773e-05,3.28854836748284e-05,4.6009179639692376e-05,2.9606475693701444e-05,3.7093763266783224e-05,5.097570053957914e-05,2.7642882987689233e-05,4.711534700591357e-05,3.661985461011169e-05,3.1884733252174495e-05,4.095236076069129e-05,6.173861216477598e-05,0.0007382937089277656,5.379420692678878e-05,2.2875830626305124e-05,4.236946649059795e-05,6.530777262910161e-05,5.408354566315278e-05,3.287243311884001e-05,4.460495228997595e-05,2.6279057041277697e-05,4.701870729021854e-05,2.7381065716723405e-05,5.360092145041207e-05,4.762029427216041e-05,1.8617403685103572e-05,5.275610373501364e-05,4.817593879218633e-05,3.609842270669871e-05,4.152096965608614e-05,5.312214999017684e-05
NTLC,5.348306743339412e-05,7.180226700855212e-05,3.1152722558936555e-05,4.0620564968745534e-05,3.5557639898281165e-05,5.325458860600072e-05,3.8915530164159e-05,4.103117286085539e-05,7.343896307611287e-05,3.408955951730607e-05,5.669664559945509e-05,4.341102435516362e-05,3.8027707594430654e-05,5.075138565567299e-05,6.606618855516963e-05,5.379420692678878e-05,0.0011717994158910732,3.779877595948841e-05,5.601010027957109e-05,8.848517211133667e-05,6.991770610837231e-05,4.348043540867254e-05,4.67856152086136e-05,3.0552135139784096e-05,4.592386893972495e-05,3.2413506098844165e-05,6.132530390420994e-05,6.448936192170083e-05,2.3277717179650605e-05,5.310461391127373e-05,5.065707356832187e-05,4.9295173442169184e-05,4.641640819902088e-05,5.770415878285134e-05
ONTBF,3.82195259354519e-05,3.8407756261471964e-05,2.0974713664284196e-05,2.3637740239970873e-05,2.370870801526104e-05,3.260101300579549e-05,2.622306065555188e-05,2.648054544982456e-05,3.6446222171244824e-05,2.1365221749823026e-05,3.326251103817169e-05,2.892395652016922e-05,2.1690578192610147e-05,3.436410137548682e-05,3.509146870632529e-05,2.2875830626305124e-05,3.779877595948841e-05,0.0004704211692921025,2.9802412140066836e-05,3.4911672784609794e-05,3.544751897603493e-05,2.387730473798395e-05,3.45520185930747e-05,2.121456738898553e-05,2.9759732101186356e-05,2.2291521680137393e-05,3.6303403881015994e-05,3.4149541643862616e-05,1.4683231205607971e-05,2.6179245704878682e-05,2.965974219989857e-05,3.203917513385967e-05,2.9854987696444268e-05,3.625838367116773e-05
ORGT,5.269156480504166e-05,5.5233873810658126e-05,2.7175881217698204e-05,3.1958172185761656e-05,3.371662840314654e-05,4.389854278343571e-05,3.522862027132103e-05,3.621734747022568e-05,5.455190399892459e-05,2.7910281044647175e-05,4.7579745091259124e-05,3.834694416584084e-05,3.194090127147351e-05,4.569360160836903e-05,5.9587556663658844e-05,4.236946649059795e-05,5.601010027957109e-05,2.9802412140066836e-05,0.0008844016190415634,6.246868219171189e-05,5.150722478331189e-05,3.642670001177642e-05,4.9001585813714914e-05,2.7283368291666613e-05,4.431723798341535e-05,2.990239326546805e-05,5.512387658306118e-05,4.677496726359788e-05,1.8757889770572993e-05,5.0884202412299916e-05,4.422850126011444e-05,4.159515064191258e-05,4.25588038649587e-05,5.6024693691593857e-05
PALC,7.406504273852808e-05,7.246195561512072e-05,4.062000574869901e-05,4.86193412883214e-05,4.596480856919904e-05,6.19059845801341e-05,4.562431565836179e-05,4.68794809672005e-05,7.782571179049226e-05,3.9103560082559285e-05,6.430422685465922e-05,5.227387010200923e-05,4.273344071553073e-05,5.437713527918232e-05,7.702266030876491e-05,6.530777262910161e-05,8.848517211133667e-05,3.4911672784609794e-05,6.246868219171189e-05,0.0013667027485772165,7.702255594934663e-05,4.741777437176222e-05,6.384456770033667e-05,3.5546864779005656e-05,6.216858876091816e-05,3.727999950134189e-05,6.673270052323982e-05,7.482838019850732e-05,2.464187527273523e-05,8.279486814153923e-05,7.419843322757923e-05,4.8556178813696374e-05,5.017276565316423e-05,7.753252545297948e-05
